35,"[array([[0.91342681, 0.9195891 , 0.92056101, ..., 0.92153956, 0.91435793,
        0.92451621],
       [0.92552246, 0.91766482, 0.91671225, ..., 0.91910561, 0.92552246,
        0.91066864],
       [0.91066864, 0.92858499, 0.91766482, ..., 0.93330801, 0.92451621,
        0.92401575],
       ...,
       [0.93384282, 0.94099097, 0.94212458, ..., 0.9070701 , 0.93014165,
        0.91766482],
       [0.94616861, 0.92755673, 0.9230201 , ..., 0.94384295, 0.93330801,
        0.92153956],
       [0.92501844, 0.91910561, 0.94558342, ..., 0.92858499, 0.90355724,
        0.9270454 ]]), '0']"
37,"[array([[0.91529507, 0.90930884, 0.92104945, ..., 0.93545975, 0.94042768,
        0.91158225],
       [0.92056101, 0.92602829, 0.91342681, ..., 0.94269495, 0.9270454 ,
        0.91766482],
       [0.9195891 , 0.92653593, 0.93118913, ..., 0.91158225, 0.91112473,
        0.92653593],
       ...,
       [0.93277526, 0.94442062, 0.93986671, ..., 0.92203137, 0.9270454 ,
        0.93384282],
       [0.93819747, 0.90840925, 0.92252487, ..., 0.91671225, 0.92351705,
        0.93384282],
       [0.93819747, 0.93545975, 0.92653593, ..., 0.93330801, 0.91766482,
        0.92858499]]), '0']"
40,"[array([[0.89389494, 0.92056101, 0.91389162, ..., 0.93224454, 0.93014165,
        0.91862374],
       [0.91342681, 0.93277526, 0.91158225, ..., 0.92153956, 0.94500077,
        0.9230201 ],
       [0.9230201 , 0.90796151, 0.90796151, ..., 0.92653593, 0.92104945,
        0.91623831],
       ...,
       [0.92858499, 0.92351705, 0.94099097, ..., 0.90530326, 0.92252487,
        0.93491867],
       [0.9270454 , 0.93384282, 0.91576592, ..., 0.93986671, 0.90796151,
        0.92007423],
       [0.92653593, 0.92104945, 0.92806992, ..., 0.9230201 , 0.92602829,
        0.91576592]]), '0']"
43,"[array([[0.90885835, 0.91814348, 0.90530326, ..., 0.92252487, 0.91910561,
        0.91766482],
       [0.91623831, 0.91576592, 0.92203137, ..., 0.93171584, 0.93224454,
        0.92153956],
       [0.91021397, 0.91342681, 0.92653593, ..., 0.93118913, 0.9195891 ,
        0.92401575],
       ...,
       [0.94099097, 0.92401575, 0.94042768, ..., 0.90751513, 0.90486482,
        0.92401575],
       [0.9230201 , 0.92552246, 0.92501844, ..., 0.9343797 , 0.91435793,
        0.93014165],
       [0.91066864, 0.9066264 , 0.92602829, ..., 0.92962084, 0.92401575,
        0.92104945]]), '0']"
44,"[array([[0.91482574, 0.9270454 , 0.90486482, ..., 0.89927969, 0.92401575,
        0.92962084],
       [0.89512066, 0.92351705, 0.92501844, ..., 0.9195891 , 0.93709584,
        0.92007423],
       [0.91112473, 0.91389162, 0.92351705, ..., 0.91435793, 0.92252487,
        0.92552246],
       ...,
       [0.94384295, 0.92910196, 0.95339816, ..., 0.93330801, 0.92104945,
        0.93600296],
       [0.94155659, 0.92056101, 0.93171584, ..., 0.91910561, 0.93171584,
        0.93277526],
       [0.92203137, 0.92056101, 0.94155659, ..., 0.92806992, 0.92755673,
        0.9195891 ]]), '0']"
45,"[array([[0.91158225, 0.91529507, 0.92755673, ..., 0.91250161, 0.92007423,
        0.93277526],
       [0.91482574, 0.92501844, 0.92351705, ..., 0.93118913, 0.93709584,
        0.93330801],
       [0.91766482, 0.90976071, 0.92056101, ..., 0.93600296, 0.92806992,
        0.92056101],
       ...,
       [0.91623831, 0.91862374, 0.94442062, ..., 0.92653593, 0.93819747,
        0.92653593],
       [0.93384282, 0.93330801, 0.92007423, ..., 0.93384282, 0.93224454,
        0.93600296],
       [0.93330801, 0.90885835, 0.93875163, ..., 0.94042768, 0.91766482,
        0.92552246]]), '0']"
49,"[array([[0.91576592, 0.90097605, 0.92351705, ..., 0.91112473, 0.91910561,
        0.9195891 ],
       [0.9230201 , 0.93014165, 0.92451621, ..., 0.9343797 , 0.93171584,
        0.92153956],
       [0.9195891 , 0.9018315 , 0.92056101, ..., 0.92153956, 0.93875163,
        0.93986671],
       ...,
       [0.92056101, 0.9343797 , 0.93277526, ..., 0.9485352 , 0.93764555,
        0.93066441],
       [0.93118913, 0.94099097, 0.91718775, ..., 0.93118913, 0.92653593,
        0.91529507],
       [0.92653593, 0.93600296, 0.91623831, ..., 0.91910561, 0.91671225,
        0.95653086]]), '1']"
51,"[array([[0.91718775, 0.92351705, 0.92351705, ..., 0.91158225, 0.9195891 ,
        0.92962084],
       [0.91158225, 0.92451621, 0.90574299, ..., 0.94616861, 0.94558342,
        0.92153956],
       [0.91435793, 0.92962084, 0.92351705, ..., 0.92552246, 0.93118913,
        0.93819747],
       ...,
       [0.94384295, 0.92401575, 0.92962084, ..., 0.93654831, 0.93014165,
        0.92252487],
       [0.92501844, 0.92552246, 0.91529507, ..., 0.93600296, 0.91482574,
        0.94442062],
       [0.94558342, 0.94913344, 0.94384295, ..., 0.94155659, 0.92910196,
        0.94913344]]), '0']"
52,"[array([[0.92653593, 0.9230201 , 0.92401575, ..., 0.93171584, 0.93600296,
        0.92962084],
       [0.91766482, 0.95094444, 0.92653593, ..., 0.93986671, 0.93764555,
        0.93600296],
       [0.93491867, 0.9195891 , 0.9230201 , ..., 0.92104945, 0.93654831,
        0.92653593],
       ...,
       [0.93330801, 0.93384282, 0.95033803, ..., 0.93875163, 0.93491867,
        0.94734669],
       [0.94269495, 0.91814348, 0.92501844, ..., 0.92653593, 0.93709584,
        0.92401575],
       [0.95401876, 0.93545975, 0.93819747, ..., 0.92401575, 0.91529507,
        0.93986671]]), '2']"
53,"[array([[0.93014165, 0.92755673, 0.92602829, ..., 0.90976071, 0.90486482,
        0.93277526],
       [0.92602829, 0.92552246, 0.94442062, ..., 0.94269495, 0.92962084,
        0.92007423],
       [0.92153956, 0.93930803, 0.9270454 , ..., 0.9195891 , 0.93224454,
        0.9195891 ],
       ...,
       [0.93118913, 0.93819747, 0.93066441, ..., 0.92653593, 0.93118913,
        0.93384282],
       [0.94616861, 0.94099097, 0.93764555, ..., 0.93118913, 0.93277526,
        0.94500077],
       [0.93118913, 0.92451621, 0.90618404, ..., 0.92007423, 0.9195891 ,
        0.92552246]]), '0']"
